ID Pago,ID Préstamo,ID Cliente,Fecha Pago,Hora Pago,Valor Pago,Estado Pago,Archivo Origen,Creado Por,Fecha Aplicación,Fecha Conciliación
473419,2802,78768913,2025-02-10,00:00:00,"477,000.00",aplicado,MIGRACION,sistema,2025-12-12,
474444,2802,78768913,2025-03-11,00:00:00,"477,000.00",aplicado,MIGRACION,sistema,2025-12-12,
475541,2802,78768913,2025-04-11,00:00:00,"476,996.00",aplicado,MIGRACION,sistema,2025-12-12,
476603,2802,78768913,2025-05-13,00:00:00,"478,000.00",aplicado,MIGRACION,sistema,2025-12-12,
478005,2802,78768913,2025-06-12,00:00:00,"476,996.00",aplicado,MIGRACION,sistema,2025-12-12,
479146,2802,78768913,2025-07-10,00:00:00,"476,996.00",aplicado,MIGRACION,sistema,2025-12-12,
